title,label,label_score
"Masuk Radar Pilwalkot Medan, Menantu Jokowi Bertemu DPW NasDem Sumut",non-clickbait,0
Malaysia Sudutkan RI: Isu Kabut Asap hingga Invasi Babi,non-clickbait,0
Viral! Driver Ojol di Bekasi Antar Pesanan Makanan Pakai Sepeda,clickbait,1
"Kemensos Salurkan Rp 7,3 M bagi Korban Kerusuhan Sosial di Papua",non-clickbait,0
MPR: Amandemen UUD 1945 Tak Akan Melebar ke Mana-mana,non-clickbait,0
"Peringati Tahun Baru Islam, Banyuwangi Kembali Gelar Festival Muharam",non-clickbait,0
"Wanita Asal Kendari Nyaris Diperkosa di Jalanan Makassar, Pelaku Diburu",non-clickbait,0
HNW Sebut GBHN Jamin Rencana Pembangunan RI Jangka Panjang,non-clickbait,0
"Ada Motor Nyangkut di Atas Bambu di Sleman, Kok Bisa?",clickbait,1
JakPro Jawab Protes Adhi Karya soal Tender Proyek JIS Diberi ke Wika,non-clickbait,0
Pesan Gamblang Poyuono Menolak Revisi UU KPK,clickbait,1
Lokasi Istana Presiden RI di Papua 15 Menit Lewat Jembatan Holtekamp,non-clickbait,0
Hiasan Taman Asia Afrika di Bandung Rusak Diterjang Angin Kencang,non-clickbait,0
"Polemik PB Djarum dan KPAI, Fadli Zon: Mestinya Bisa Dimusyawarahkan",non-clickbait,0
Pengacara Ajukan Penangguhan Penahanan Kivlan Zen,non-clickbait,0
Eksepsi Bassist Boomerang Hubert Henry dalam Kasus Ganja Ditolak Hakim,non-clickbait,0
"Jenguk BJ Habibie di RSPAD, Kepala BPPT: Beliau Semangat Recovery",non-clickbait,0
JK Jenguk Habibie di RSPAD Gatot Soebroto,non-clickbait,0
"Sebuah Mobil Tertimpa Pohon di Pondok Indah, Pengemudi Terluka",non-clickbait,0
Demokrat Akan Bangun Museum dan Art Gallery SBY-Ani di Pacitan,non-clickbait,0
Mendagri Jamin Pelaksanaan UU Otsus di Papua Dilanjutkan,non-clickbait,0
"Tegaskan Dukung Pemerintah, PD: Kami Tak Pernah Kenal Oposisi",non-clickbait,0
"Peredaran Snack Tanpa Izin Dibongkar, Omzet Sebulan Capai Rp 1,5 Miliar",non-clickbait,0
"Mayat Pria Ditemukan di Kalimalang Bekasi, Diduga Korban Tenggelam",non-clickbait,0
"Pesan Anak Habibie ke Penjenguk: Mohon Dimengerti, Bapak Perlu Istirahat",non-clickbait,0
KPK Curhat Pencegahan Korupsi Tak Dianggap: Banyak Uang Negara Diselamatkan,non-clickbait,0
ACT Inisiasi Gerakan Nasional #IndonesiaDermawan,non-clickbait,0
Demokrat Dukung Langkah Jokowi Bangun Istana di Papua,non-clickbait,0
Menkum HAM Sudah Kaji Draf Revisi UU KPK,non-clickbait,0
MPR Gelar Diskusi Evaluasi Pelaksanaan UUD di Yogyakarta,non-clickbait,0
Kocak! Maling di Rumah Mewah Jakut Terekam CCTV Bingung Cari Jalan Kabur,clickbait,1
KPK Tanggapi DPR: Penegakan Hukum Tak Boleh Terikat Komitmen Politik,non-clickbait,0
Pengacara Sebut Dakwaan Kivlan Zen Dipaksakan,non-clickbait,0
Polisi Belanda Tembak Mati Istri dan 2 Putrinya Lalu Bunuh Diri,non-clickbait,0
6 Perampok Bersebo Tembak Warga hingga Tewas di Sumsel,non-clickbait,0
"Tepis Jadi Penyebab Tunggal Kabut Asap, RI Akan Surati Malaysia",non-clickbait,0
"Jokowi Diminta Mekarkan Wilayah Papua, JK: Ada Undang-undangnya",non-clickbait,0
"Viral Video Diduga Baku Tembak di Sleman, Ini Kata Polisi",clickbait,1
Kadis PU dan 2 PNS Kabupaten Mandailing Natal Ditahan Kejati Sumut,non-clickbait,0
"Banding Ditolak, Hak Politik Eks Bupati Katingan Dicabut Hakim",non-clickbait,0
"Kecelakaan Beruntun 4 Kendaraan di Lenteng Agung, 2 Pemotor Luka-luka",non-clickbait,0
"KPK Bongkar Mafia Migas: Transaksi Lintas Negara, Tak Mudah Diungkap",non-clickbait,0
"Diawasi di Hong Kong, Aktivis Joshua Wong Terbang ke Berlin",non-clickbait,0
Anggota DPRD Surabaya Gadaikan SK Sebagai Jaminan untuk Potong Gaji,non-clickbait,0
Ical Jenguk BJ Habibie di RSPAD: Kita Doakan yang Terbaik,non-clickbait,0
175 Orang dan 4 Korporasi Jadi Tersangka Karhutla di Sumatera-Kalimantan,non-clickbait,0
Fenomena Gadai SK Anggota Dewan Juga Terjadi di DPRD Serang,non-clickbait,0
Akademisi dan Mahasiswa Unair Tolak Revisi UU KPK,non-clickbait,0
"Pegawai KPK Surati Fraksi di DPR, Minta Tak Pilih Capim yang Lemahkan KPK",non-clickbait,0
"Waspada! Ada Penipuan Catut Pertamina, Korbannya Rugi Puluhan Juta",clickbait,1
Ekoturisme: Pelajaran Besar dari Negara Kecil,non-clickbait,0
"Refleksi 5 Tahun DPD RI, OSO: Kami Ada untuk Daerah",non-clickbait,0
MUI Riau: Pelaku Karhutla Orang Tak Taat Beragama,non-clickbait,0
Penyelundupan 19.253 Benih Lobster Tujuan Singapura Digagalkan di Makassar,non-clickbait,0
"Kecelakaan Beruntun dan Truk Terbakar di Cipularang, 2 Orang Luka",non-clickbait,0
"Banyak Berita Negatif, HNW Khawatirkan Moral Bangsa Indonesia",non-clickbait,0
KPK Harap Jeratan Eks Dirut Petral Bisa Buka Kotak Pandora Mafia Migas,non-clickbait,0
Hamas Tembak Jatuh Drone Israel di Jalur Gaza,non-clickbait,0
